Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Independent Dressing,"A playful, repeatable activity for beginning to dress.","This builds genuine independence at an age when wanting to be independent is at its peak. Expect them to want it again immediately, and again after that; repetition is how toddlers learn.","By 24 months: pull trousers up and down, remove shoes and socks, help with shirts. All with support: independence is incremental.",Self-Care & Adaptive,10–15 min,Clothing,22–24 months,IAP Infant and Young Child Feeding; AAP Toilet Training Guidance; IAP
Toilet Training Awareness,"A playful, repeatable activity for toilet training readiness.","This builds genuine independence at an age when wanting to be independent is at its peak. Let your toddler lead where possible, and accept that it will be slower and messier than doing it yourself.",If interest appears: describe what toilet training involves. Let child see the process. No pressure: readiness signs should lead.,Self-Care & Adaptive,Ongoing,Potty (optional),22–24 months,IAP Infant and Young Child Feeding; AAP Toilet Training Guidance; IAP
Jump Forward,A hands-on activity for developing jumping and explosive leg power.,"Your toddler is becoming genuinely capable physically, and this builds the strength and coordination that running, climbing and jumping all need. Give your toddler time to work it out before stepping in, because the working out is where the learning happens.","Encourage jumping forward from standing, landing on both feet. Distance of jump increases each week as leg strength grows.",Gross Motor,5–10 min,None,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Walk Balance Beam,A hands-on activity for developing static and dynamic balance.,"Your toddler is becoming genuinely capable physically, and this builds the strength and coordination that running, climbing and jumping all need. Let them repeat it as often as they want, and let them change the rules; both are signs it is doing its job.","A plank, a garden wall, or tape on the floor. Walk along without falling off. Balance on a narrow path is a 2.5-year skill.",Gross Motor,5–10 min,Plank or tape line,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
One Foot I,A hands-on activity for developing jumping and explosive leg power.,"This is a good age for challenging the balance system, because the body is stable enough to try and still learning fast. Praise the effort and the trying rather than the result, especially when it does not go well.",Hold child's hand and encourage hopping on one foot. Even one hop is the milestone beginning: don't expect sustained hopping yet.,Gross Motor,3–5 min,None,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Catch Bounced Ball,"An activity that builds throwing, catching and hand-eye coordination.","This is a good age for challenging the balance system, because the body is stable enough to try and still learning fast. Praise the effort and the trying rather than the result, especially when it does not go well.",Bounce a large ball to child. Catching a bounced ball before a thrown one: the visual tracking time is longer.,Gross Motor,5–10 min,Large ball,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Pedal Steering,A hands-on activity for developing pedalling and steering.,"Movement at this age is how the body's control systems get calibrated, and children who move more move better. Give your toddler time to work it out before stepping in, because the working out is where the learning happens.",Tricycle: practice steering around objects. Combining pedalling with directional control is a significant motor coordination step.,Gross Motor,10–15 min,Tricycle,25–27 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Animal Movement Play,A playful challenge that strengthens jumping and explosive leg power.,"This is a good age for challenging the balance system, because the body is stable enough to try and still learning fast. Praise the effort and the trying rather than the result, especially when it does not go well.","Move like different animals: frog jump, bear walk, crab walk, snake slither. Each uses different muscle groups and movement patterns.",Gross Motor,5–10 min,None,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Throw Overhand,An activity that builds running and speed control.,"This is a good age for challenging the balance system, because the body is stable enough to try and still learning fast. Praise the effort and the trying rather than the result, especially when it does not go well.",Demonstrate an overhand throw and let child try. Overhand requires trunk rotation: a very different movement than underhand.,Gross Motor,5–10 min,Ball,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
Summersault,An activity that builds functional strength and carrying.,"This is a good age for challenging the balance system, because the body is stable enough to try and still learning fast. Give your toddler time to work it out before stepping in, because the working out is where the learning happens.","Help child do a forward roll on a soft surface. Head tuck, push-off, and landing = vestibular, motor, and spatial all together.",Gross Motor,3–5 min,Soft mat or rug,25–27 months,WHO Physical Activity Guidelines (under 5); AAP Physical Activity; IAP
